Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90089, 90779, 2, 169, 168, 167, 1, 0, 0.015037593984962405, 18600, 36600, 54600, 72600, 90600
600-1200, 91245, 92554, 6, 128, 127, 126, 1, 0, 0.0041249263406010605, 20400, 37200, 56400, 73200, 91800
1200-1800, 95450, 100272, 4, 90, 87, 85, 3, 0, 0.2330208095129202, 24000, 40200, 60000, 80400, 99600
1800-2400, 97852, 111160, 11, 88, 85, 78, 4, 0, 0.412436948297604, 27000, 49800, 64800, 85800, 111000
2400-3000, 100236, 135025, 14, 84, 75, 63, 7, 0, 0.7593324424985074, 41400, 55800, 75000, 87600, 134400
3000-3600, 107391, 123570, 17, 64, 56, 54, 9, 0, 1.2562373876352964, None, None, None, None, 123000
3600-4200, 115381, 139133, 24, 62, 53, 51, 10, 0, 1.1287104740690523, None, None, None, 121800, 138600
4200-4800, 128446, 223518, 23, 95, 83, 54, 14, 0, 1.7452238483166318, None, 109800, None, 138000, 223200
4800-5400, 133328, 236429, 31, 100, 75, 57, 23, 0, 2.561911658218682, None, None, None, None, 235800
5400-6000, 144629, 249476, 21, 93, 71, 55, 17, 0, 1.964913089584582, None, None, 146400, 173400, 249000
6000-6600, 158771, 388784, 31, 137, 115, 55, 23, 0, 3.653034436080973, 111600, None, 183600, 237000, 388200
6600-7200, 220900, 489795, 37, 157, 134, 73, 23, 0, 3.5834912613181724, None, None, None, 239400, 489000
7200-7800, 189859, 489594, 35, 161, 119, 64, 37, 0, 4.442558651913904, 123600, None, None, None, 489000
7800-8400, 216016, 393968, 32, 126, 94, 70, 47, 0, 4.870897976298193, None, None, None, None, 393600
