Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90173, 90952, 3, 159, 158, 157, 1, 0, 0.020080321285140562, 19200, 37800, 54600, 72600, 90600
600-1200, 90784, 91505, 3, 122, 121, 120, 1, 0, 0.1797752808988764, 19200, 37200, 55800, 73200, 91200
1200-1800, 93117, 95810, 8, 81, 79, 78, 1, 0, 0.056956791399627865, 24600, 41400, 61800, 78000, 95400
1800-2400, 96177, 107511, 11, 68, 65, 61, 3, 0, 0.26462067272280876, 27000, 54000, 66600, 84600, 107400
2400-3000, 104529, 123991, 12, 60, 56, 51, 5, 0, 0.4611145849617008, 34800, 55800, 71400, 87600, 123600
3000-3600, 107183, 127425, 21, 57, 53, 47, 6, 0, 0.7908410138248848, None, None, 84000, 108000, 127200
3600-4200, 114332, 190464, 19, 74, 64, 45, 9, 0, 1.113673321889963, None, None, 111000, None, 190200
4200-4800, 121337, 171164, 14, 58, 46, 43, 10, 0, 1.276652188613488, None, None, None, 118200, 171000
4800-5400, 142327, 278526, 18, 87, 62, 43, 11, 0, 1.9669405176029409, None, None, 106800, None, 278400
5400-6000, 149662, 217433, 24, 66, 52, 46, 13, 0, 1.6529043403152668, None, None, None, None, 217200
6000-6600, 186114, 263013, 25, 79, 57, 53, 26, 0, 3.1156303503570384, None, None, None, None, 262800
6600-7200, 188725, 326741, 27, 89, 60, 51, 19, 0, 2.5068319704563438, None, None, None, None, 326400
7200-7800, 228312, 345966, 25, 91, 65, 58, 24, 0, 3.7847723830024713, None, None, None, None, 345600
7800-8400, 244270, 443419, 33, 111, 79, 62, 38, 0, 3.879360972504569, None, None, None, None, 443400
