Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90035, 90035, 1, 194, None, 193, 2, 0, 0.07782672540381791, 18000, 36600, 55200, 73200, 90000
600-1200, 92780, 94549, 3, 158, 157, 153, 2, 0, 0.18257839721254354, 19800, 37200, 55200, 73800, 94200
1200-1800, 95036, 99190, 4, 111, 108, 105, 4, 0, 0.3396816881258941, 24000, 43800, 61200, 76800, 99000
1800-2400, 97956, 120758, 9, 113, 107, 89, 8, 0, 0.9442501814343208, 28800, 51600, 63000, 87600, 120600
2400-3000, 103902, 135137, 11, 106, 99, 81, 11, 0, 1.6340240493410836, None, None, None, None, 135000
3000-3600, 107730, 158373, 16, 106, 86, 72, 15, 0, 2.2389040661994692, None, None, None, None, 157800
3600-4200, 114710, 150005, 13, 102, 87, 74, 17, 0, 2.420255598734025, None, None, 121200, None, 150000
4200-4800, 127821, 200998, 20, 122, 92, 77, 21, 0, 3.6784148818645095, None, None, 136200, None, 199800
4800-5400, 147164, 208878, 17, 124, 103, 83, 28, 0, 4.775874052964482, 101400, None, None, None, 208800
5400-6000, 152522, 320346, 24, 179, 151, 84, 37, 0, 5.050978652073165, None, None, None, 160200, 319200
6000-6600, 197127, 397150, 19, 209, 163, 104, 45, 0, 9.13115311106392, 103200, None, 164400, 187800, 396600
6600-7200, 255227, 338534, 22, 175, 140, 130, 73, 0, 12.241690789244236, 114000, None, None, 245400, 338400
7200-7800, 226683, 437668, 21, 208, 137, 111, 76, 0, 13.402746617717044, None, 223200, None, None, 437400
7800-8400, 252870, 584545, 19, 283, 190, 119, 93, 0, 13.223374333571218, None, None, None, None, 584400
