Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 91389, 91997, 1, 184, None, 182, 2, 0, 0.1631663974151858, 19200, 36600, 54600, 72600, 91200
600-1200, 91359, 92293, 3, 145, 143, 142, 2, 0, 0.05712050078247261, 19200, 37800, 56400, 75000, 91800
1200-1800, 93992, 98511, 8, 102, 99, 96, 3, 0, 0.19215417949595165, 22800, 44400, 60000, 76800, 97800
1800-2400, 100975, 106462, 12, 85, 81, 80, 5, 0, 0.5667407642637875, 29400, 51600, 68400, 82200, 106200
2400-3000, 104564, 116480, 13, 73, 67, 64, 6, 0, 0.8720566106795722, 36600, 52800, None, None, 116400
3000-3600, 107975, 128100, 17, 82, 73, 70, 9, 0, 1.2687285223367697, 46200, 63600, 81000, 99000, 127800
3600-4200, 114208, 138772, 13, 78, 64, 62, 12, 0, 1.6942887291433093, 57000, None, None, 118800, 138600
4200-4800, 131821, 263153, 15, 127, 114, 65, 17, 0, 1.8659664675274619, None, None, 145800, None, 262800
4800-5400, 136701, 198690, 24, 101, 79, 69, 16, 0, 2.1208862000392124, None, None, None, None, 198000
5400-6000, 137820, 213246, 17, 90, 65, 56, 23, 0, 3.5682539682539685, None, None, None, None, 213000
6000-6600, 172845, 354739, 22, 151, 127, 77, 28, 0, 3.511988477505719, 84600, None, None, 189000, 354600
6600-7200, 179558, 443806, 31, 173, 122, 70, 38, 0, 4.045856432125089, None, None, None, None, 443400
7200-7800, 227451, 417503, 33, 160, 100, 86, 40, 0, 6.911169002715198, None, None, None, None, 417000
7800-8400, 298409, 511298, 23, 193, 126, 116, 49, 0, 6.364536798304955, None, None, 280800, None, 511200
