Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90480, 90602, 1, 193, None, 191, 2, 0, 0.07259528130671507, 19200, 36600, 54600, 73200, 90000
600-1200, 91366, 92217, 5, 165, 164, 163, 3, 0, 0.28336272780717225, 19800, 37200, 55200, 75000, 91800
1200-1800, 93141, 101699, 7, 118, 116, 107, 4, 0, 0.387217140105922, 24600, 45000, 62400, 79200, 101400
1800-2400, 96966, 105140, 9, 97, 90, 85, 7, 0, 0.879722818016829, 30000, 50400, 72000, 81000, 104400
2400-3000, 101567, 117208, 11, 100, 89, 88, 11, 0, 1.6131880175353142, 40800, 61800, 74400, 100800, 117000
3000-3600, 114699, 176458, 9, 140, 125, 94, 15, 0, 1.9431963839978412, None, 66600, 87000, None, 176400
3600-4200, 116496, 149755, 11, 108, 88, 85, 24, 0, 2.7017181775966153, None, None, 114000, None, 149400
4200-4800, 142388, 247749, 15, 158, 125, 89, 26, 0, 3.814568435057376, None, None, None, None, 247200
4800-5400, 154494, 207757, 14, 128, 105, 91, 40, 0, 7.203718895269346, None, None, None, None, 207600
5400-6000, 180346, 239423, 18, 148, 113, 107, 37, 0, 9.047649346058678, None, 114000, None, None, 238800
6000-6600, 177867, 314336, 17, 181, 143, 102, 73, 0, 9.180501883285233, None, None, 222600, None, 313800
6600-7200, 244329, 350054, 17, 196, 147, 129, 59, 0, 10.085427715010375, 126600, 186000, None, None, 349800
7200-7800, 226819, 410013, 17, 235, 173, 136, 76, 0, 10.870485096434834, 144000, None, None, None, 409800
7800-8400, 251797, 411027, 16, 228, 166, 145, 105, 0, 16.426787794083392, 181800, None, None, None, 411000
