Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90258, 90735, 1, 157, None, 155, 1, 0, 0.013043478260869565, 18600, 36000, 54600, 73200, 90600
600-1200, 90719, 91571, 3, 118, 117, 116, 1, 0, 0.04327666151468315, 19200, 39000, 56400, 73200, 91200
1200-1800, 94263, 97015, 6, 85, 83, 82, 2, 0, 0.09452137266706803, 25800, 40800, 59400, 78000, 96600
1800-2400, 97466, 108839, 6, 74, 69, 66, 5, 0, 0.45021744106202793, 34800, 55200, 69000, 82800, 108600
2400-3000, 102855, 126644, 9, 67, 59, 54, 6, 0, 0.7267688996502556, None, None, 74400, None, 126600
3000-3600, 108961, 130501, 14, 66, 57, 54, 9, 0, 1.0732572315194502, None, 66000, 85200, 100800, 130200
3600-4200, 115252, 170022, 12, 75, 62, 50, 12, 0, 1.5026072250669422, None, 69600, None, None, 169800
4200-4800, 128560, 185009, 19, 73, 63, 51, 16, 0, 2.230096843164382, None, None, None, None, 184800
4800-5400, 132056, 183078, 20, 71, 51, 50, 18, 0, 2.9001750111526716, None, None, None, None, 183000
5400-6000, 159792, 233808, 23, 82, 66, 58, 23, 0, 2.436091625799243, 113400, None, None, None, 233400
6000-6600, 171041, 269520, 21, 92, 72, 57, 31, 0, 3.2678639249091206, 84600, None, None, None, 269400
6600-7200, 169524, 264788, 25, 82, 59, 52, 24, 0, 4.290941910075484, 165000, None, None, None, 264600
7200-7800, 257000, 372996, 23, 117, 86, 85, 40, 0, 7.637059899405578, None, None, None, 291000, 372600
7800-8400, 313400, 523398, 23, 150, 111, 91, 45, 0, 6.7601566672601034, None, None, None, None, 523200
