Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90043, 91712, 9, 172, 171, 170, 1, 0, 0.12422709387296234
600-1200, 92569, 94898, 4, 156, 154, 150, 3, 0, 0.22290881688018085
1200-1800, 93507, 99745, 6, 102, 100, 96, 4, 0, 0.3527199799448483
1800-2400, 99508, 116178, 12, 94, 91, 80, 12, 0, 0.9651199003425724
2400-3000, 107265, 126649, 11, 87, 82, 75, 10, 0, 0.9170420420420421
3000-3600, 113425, 198273, 20, 110, 103, 65, 42, 0, 6.113636363636363
3600-4200, 199236, 231436, 21, 126, 109, 105, 56, 0, 9.30104873534855
4200-4800, 130449, 341623, 29, 161, 142, 63, 93, 0, 24.035445496479728
4800-5400, 135641, 193808, 21, 87, 65, 59, 24, 0, 2.5745745745745747
5400-6000, 168681, 258270, 29, 113, 83, 72, 37, 0, 6.016420361247947
6000-6600, 198184, 393024, 34, 152, 130, 78, 70, 0, 16.39782608695652
6600-7200, 205429, 323615, 29, 125, 87, 77, 45, 0, 7.374842238115272
7200-7800, 225155, 505388, 38, 181, 129, 86, 92, 0, 23.365494439434926
7800-8400, 282758, 406334, 32, 148, 109, 105, 40, 0, 5.6051907196224935
