Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90786, 91272, 1, 211, None, 209, 2, 0, 0.31083361457981773
600-1200, 95510, 96426, 2, 173, 171, 170, 4, 0, 0.3711340206185567
1200-1800, 96172, 102786, 6, 135, 132, 126, 7, 0, 0.44872846595570137
1800-2400, 108261, 123017, 8, 132, 124, 117, 13, 0, 0.9011213047910296
2400-3000, 115994, 173167, 11, 159, 150, 104, 52, 0, 7.529230769230769
3000-3600, 125485, 165687, 14, 143, 121, 112, 27, 0, 2.9550858652575958
3600-4200, 126629, 204446, 11, 156, 139, 102, 50, 0, 7.789052069425901
4200-4800, 182860, 257506, 13, 197, 167, 139, 67, 0, 9.496662216288385
4800-5400, 203477, 270334, 16, 183, 154, 137, 42, 0, 5.986238532110092
5400-6000, 254784, 329567, 17, 222, 177, 169, 49, 0, 7.395744680851064
6000-6600, 257213, 341605, 18, 243, 205, 177, 61, 0, 8.884615384615385
6600-7200, 342675, 568620, 16, 379, 311, 226, 153, 0, 30.885654885654887
7200-7800, 528020, 685802, 15, 438, 373, 334, 133, 0, 17.675025075225676
7800-8400, 426291, 987004, 19, 571, 479, 244, 318, 0, 72.10987124463519
