Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91276, 91276, 1, 164, None, 163, 1, 0, 0.07032967032967033
600-1200, 90723, 91919, 4, 131, 130, 129, 1, 0, 0.16422947131608548
1200-1800, 96095, 104212, 6, 99, 96, 90, 7, 0, 0.3116651825467498
1800-2400, 103272, 109433, 8, 82, 79, 78, 2, 0, 0.23145780051150894
2400-3000, 120639, 134731, 11, 85, 79, 75, 15, 0, 1.015130674002751
3000-3600, 128488, 149836, 15, 89, 77, 72, 12, 0, 1.062200956937799
3600-4200, 139853, 175314, 13, 92, 82, 72, 16, 0, 1.300854700854701
4200-4800, 166242, 236093, 14, 114, 96, 79, 32, 0, 3.981679389312977
4800-5400, 190480, 304561, 12, 145, 118, 86, 56, 0, 8.214592274678111
5400-6000, 221594, 292398, 15, 130, 107, 100, 34, 0, 3.9644128113879002
6000-6600, 269679, 408266, 15, 181, 150, 121, 57, 0, 8.473537604456824
6600-7200, 325684, 523029, 16, 212, 172, 131, 79, 0, 14.034177215189873
7200-7800, 333148, 449761, 16, 182, 144, 130, 46, 0, 5.3981337480559874
7800-8400, 376253, 811653, 13, 297, 232, 139, 153, 0, 38.99038461538461
