Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90104, 90104, 1, 161, None, 160, 1, 0, 0.0658346691092283
600-1200, 93618, 94504, 2, 121, 120, 119, 1, 0, 0.047314362687321095
1200-1800, 94928, 99942, 6, 83, 80, 79, 1, 0, 0.13560237709346298
1800-2400, 100997, 178598, 9, 112, 108, 65, 45, 0, 8.915652173913044
2400-3000, 110163, 135159, 12, 68, 60, 53, 12, 0, 1.208647362157874
3000-3600, 162885, 191760, 12, 83, 74, 68, 29, 0, 4.281890284203569
3600-4200, 119436, 200126, 15, 75, 66, 46, 26, 0, 3.617600631412786
4200-4800, 137078, 190302, 18, 70, 58, 50, 17, 0, 2.1555555555555554
4800-5400, 145957, 218746, 19, 70, 55, 46, 21, 0, 2.703969392635103
5400-6000, 172227, 227914, 26, 70, 58, 56, 11, 0, 1.336108220603538
6000-6600, 177354, 461700, 27, 128, 109, 53, 71, 0, 19.483646888567293
6600-7200, 238125, 323850, 21, 90, 73, 67, 21, 0, 2.9673118279569892
7200-7800, 241910, 441179, 29, 108, 73, 62, 43, 0, 7.476579925650557
7800-8400, 271300, 772490, 28, 184, 145, 65, 116, 0, 34.16445376193804
