Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91336, 91955, 1, 181, None, 179, 2, 0, 0.16956812855708067
600-1200, 91127, 91325, 3, 146, 145, 144, 2, 0, 0.16012909632571995
1200-1800, 96232, 107498, 6, 126, 122, 115, 9, 0, 0.7102137767220903
1800-2400, 100388, 108268, 12, 87, 82, 78, 6, 0, 0.4102422907488987
2400-3000, 106882, 134559, 11, 107, 103, 90, 15, 0, 1.3299080584099514
3000-3600, 118462, 142364, 17, 96, 86, 80, 15, 0, 1.270339525944907
3600-4200, 120037, 169050, 22, 105, 89, 70, 31, 0, 3.927308447937132
4200-4800, 154386, 277005, 26, 146, 127, 83, 61, 0, 11.389324191968658
4800-5400, 229758, 298184, 25, 157, 127, 119, 68, 0, 11.110994764397907
5400-6000, 174262, 271917, 20, 134, 112, 88, 42, 0, 6.987694300518135
6000-6600, 182041, 273174, 27, 125, 89, 82, 38, 0, 4.964620938628159
6600-7200, 257053, 350976, 29, 153, 114, 110, 37, 0, 5.549019607843137
7200-7800, 261740, 610621, 29, 253, 206, 109, 142, 0, 30.49244966442953
7800-8400, 339859, 562208, 28, 229, 144, 140, 85, 0, 15.87988136431043
