Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90824, 91389, 3, 166, 165, 164, 1, 0, 0.08304011259676285
600-1200, 91359, 92576, 3, 119, 118, 116, 2, 0, 0.12373072583678074
1200-1800, 92737, 97049, 5, 85, 83, 80, 2, 0, 0.15384615384615385
1800-2400, 109955, 117875, 9, 83, 78, 77, 6, 0, 0.41253443526170797
2400-3000, 111790, 125543, 8, 79, 71, 68, 6, 0, 0.48866498740554154
3000-3600, 116093, 135742, 9, 77, 68, 62, 11, 0, 0.6972754793138244
3600-4200, 137493, 174184, 10, 80, 68, 63, 14, 0, 1.3982125124131082
4200-4800, 150600, 214492, 15, 95, 82, 66, 27, 0, 3.794701986754967
4800-5400, 173114, 259390, 15, 99, 77, 63, 33, 0, 5.2781954887218046
5400-6000, 205835, 264546, 17, 104, 85, 83, 23, 0, 2.63903462749213
6000-6600, 234297, 312208, 16, 115, 87, 86, 25, 0, 2.9737098344693282
6600-7200, 273630, 363750, 17, 126, 108, 98, 33, 0, 4.256951102588687
7200-7800, 312302, 626743, 21, 206, 158, 108, 93, 0, 20.793912492073556
7800-8400, 279184, 464042, 20, 152, 108, 90, 57, 0, 8.709259259259259
