Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90062, 90062, 1, 156, None, 155, 1, 0, 0.03344851416724257
600-1200, 91253, 91979, 4, 116, 115, 114, 1, 0, 0.0842936406316688
1200-1800, 96737, 100356, 4, 86, 84, 81, 3, 0, 0.13043478260869565
1800-2400, 118867, 135089, 8, 87, 84, 74, 18, 0, 1.4424046076313894
2400-3000, 107542, 150345, 10, 80, 73, 56, 21, 0, 2.2225042301184432
3000-3600, 113003, 159994, 13, 69, 59, 48, 18, 0, 2.3978174603174605
3600-4200, 125499, 147238, 19, 60, 52, 50, 7, 0, 0.683974358974359
4200-4800, 162968, 218553, 20, 84, 68, 64, 24, 0, 3.00501002004008
4800-5400, 146477, 192742, 19, 73, 58, 55, 15, 0, 1.383759004584152
5400-6000, 233499, 320553, 18, 103, 85, 73, 30, 0, 4.572661217075386
6000-6600, 186792, 298930, 23, 92, 71, 58, 31, 0, 4.564622124863089
6600-7200, 214969, 425031, 23, 124, 89, 61, 59, 0, 13.570831592143753
7200-7800, 278495, 627086, 26, 159, 138, 71, 84, 0, 20.98121292023731
7800-8400, 331499, 655466, 28, 168, 99, 87, 81, 0, 18.58514986376022
