Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90937, 91468, 1, 204, None, 201, 3, 0, 0.29742132867132864
600-1200, 91904, 96195, 3, 169, 168, 162, 5, 0, 0.3651505445227418
1200-1800, 95693, 102110, 10, 119, 116, 111, 6, 0, 0.4055224688684353
1800-2400, 105676, 117101, 16, 113, 107, 102, 9, 0, 0.6829913964262078
2400-3000, 113556, 126600, 9, 104, 96, 94, 14, 0, 1.0148392415498764
3000-3600, 111212, 154148, 17, 132, 121, 94, 34, 0, 3.496019108280255
3600-4200, 127897, 173943, 20, 123, 97, 88, 31, 0, 4.092696629213483
4200-4800, 146003, 198405, 18, 131, 108, 99, 28, 0, 3.3417132216014895
4800-5400, 174678, 253433, 21, 141, 115, 96, 48, 0, 8.226749335695306
5400-6000, 254903, 472998, 20, 250, 222, 142, 138, 0, 35.33779264214047
6000-6600, 218947, 283802, 21, 157, 127, 121, 31, 0, 2.9918283963227785
6600-7200, 235903, 519092, 23, 262, 149, 127, 130, 0, 28.18872870249017
7200-7800, 385878, 618510, 24, 316, 270, 189, 123, 0, 22.651094027202838
7800-8400, 269521, 546743, 25, 248, 139, 123, 120, 0, 23.77007874015748
