Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91762, 92262, 4, 167, 166, 165, 1, 0, 0.0808673121505523
600-1200, 91273, 92339, 2, 134, 132, 130, 2, 0, 0.14732593340060546
1200-1800, 96746, 100706, 7, 104, 101, 100, 2, 0, 0.2578947368421053
1800-2400, 105681, 122413, 7, 91, 84, 79, 10, 0, 0.817096649980747
2400-3000, 99862, 116482, 16, 77, 67, 65, 9, 0, 0.6260121457489879
3000-3600, 118060, 135593, 19, 79, 70, 67, 10, 0, 0.7880405766150561
3600-4200, 122741, 210467, 25, 113, 98, 68, 41, 0, 6.947964750314729
4200-4800, 133462, 201363, 19, 98, 80, 65, 30, 0, 4.825289575289576
4800-5400, 146818, 362515, 19, 146, 123, 56, 86, 0, 21.63166894664843
5400-6000, 156714, 262403, 21, 109, 72, 64, 42, 0, 6.966442953020135
6000-6600, 169227, 253348, 15, 96, 68, 63, 31, 0, 3.9557783018867925
6600-7200, 216321, 387773, 34, 142, 101, 77, 62, 0, 10.712779973649539
7200-7800, 267146, 498655, 31, 168, 101, 91, 75, 0, 16.60641627543036
7800-8400, 321809, 1289639, 32, 418, 383, 106, 310, 0, 109.9834281072299
